Russian	Predicted	Truth
я не понимать математика	математика 1ps не понимать нет3	математика 1ps не понимать нет3
неполный блокада дыхательный путь	не полный останавливаться дышать	н-е полный не останавливаться дышать
наверное вы подумать что быть лишний окошко	наверное думать всегда лишний	наверное думать еще лишний
настоящий	настоящий	настоящий
бабушка и дедушка родитель папа а мама и папа родитель катя и антон	бабушка2 дедушка родители папа папа мама папа родители poss 3ps <dact> <dact>	бабушка2 дедушка это родители папа poss 3ps мама папа родители poss 3ps <dact> <dact>
еще он замечать бабочка медвежонок никогда не видеть ничто такой же яркий разноцветный красивый и удивительный	еще замечать бабочка2 раньше медведь видеть никогда похоже	еще замечать бабочка2 раньше медведь видеть никогда похоже яркий цвет разный и красивый удивительный
весь животное в лес смеяться над мышонок	все животноеpl лес2 смеяться угрожать2 мышь2	все животное pl лес2 смеяться угрожать2 <dact> мышь2
мелкий	мелкий2	мелкий2
они связываться со спонсор который попросить предоставлять скидка или раздавать мыло бесплатно чтобы ребенок использовать он для мытье рука	контактироватьpl <dact> спонсор контактироватьpl согласие бесплатный раздавать мыло сдать	уже контактировать pl <dact> спонсор контактировать pl просить 3ps скидка или бесплатный раздавать мыло сдать pl дети2 умыть руки использовать pl уже
следующий акселератор	следущий3 <dact>	следущий3 <dact>
общий	общий	общий
мой попугай любить человек	poss попугай любить человекpl	poss попугай <dact> любить человек pl
акцентировать внимание именно на это	акцентировать.внимание дети2	<nums> до у 1ps 1ps интерес акцентировать.внимание дети2
вот и первый рыбка ерш	первый рыба2 ловить	первый рыба2 ловить <dact>
мой бабушка любить гулять ночь	poss бабушка любить гулять ночь	poss бабушка любить гулять ночь
получаться что один апсула с утро уменьшать аппетит особенно тяга к сладкий защищать от развитие метаболический синдром инсулинорезистентность а в дальнейший сахарный диабет усиливать эффект насыщение и защищать от повторный набор вес	успех капсула утро уменьшать2 еще не.хотеть отдельный	успех капсула утро indx уменьшать2 следующий3 еда еще не.хотеть отдельный2 сладкий indx желание нет2 и защищать о-т о-т воспринимать и сахар <dact> конец и сильный увеличивать чувствовать сытый и защищать о-т обратимый вес увеличивать
я обожать что в мой работа нет однообразие всегда разный место человек информация посещать разный мероприятие	обожать2 что 1ps однообразно так нет2 всегда2 разный место человекpl информация	обожать2 что 1ps однообразно так нет2 всегда2 разный место человек pl информация разный посещать.туда.сюда разный
антон настоящий старший брат он всегда защищать свой маленький сестра если кто-то в школа иногда пытаться е обижать	<dact> настоящий старший брат 3ps всегда защита свой маленький сестра	<dact> настоящий старший брат 3ps всегда защита свой маленький сестра забота случай что школа быть pl 3ps кто обида дразнить
и я становиться интересно быть ли подобный в москва	1ps очень интересный был случай москва какой	1ps интересный москва здесь есть отсутствие
человек не носить это платье потому что оно мало	человекpl носить платье почему н-е мало	человек pl н-е носить это платье почему это indx мало маленький3
здесь африка	здесь африка2	здесь африка2
мочь быть чтобы деньги оставаться на потом но на самый дело весь человек разный и у каждый быть свой причина	мочь быть что думать оставить желание н-о так суд человек	мочь быть что думать копить оставить желание н-о так 2ps pl человек pl разный причина свой pl внутрь
мучение	страдание	страдание
тонкий	худой2	худой2
да	д-а	да
в интернет быть список конкурс в свой город	интернет список соренование свой город	интернет список соренование свой город
рано быть такой автомобиль красивый длинный с олень на капот	раньше был автомобиль красивый clf clf.длинный clf.один clf 	<dact> раньше красивый clf clf.длинный clf.автомобиль clf clf.фары <dact> олень clf clf.олень clf.лапы clf clf.олень clf.стоит
она начало что-то говорить да неожиданно замолчать	начинать девочка это случай неожиданно2 молчать	3ps <dact> девочка рассказывать случай неожиданно2 молчать
несколько год назад у она к сожаление умирать мама	некоторый год назад2 девочка девочка смерть мама смерть жалость	несколько лет назад2 девочка poss 3ps мама смерть жалость
пожалуйста помогать мы кто если не вы	пожалуйста помогать 2ps если 2ps кто дефицит	1ps просить 2ps помогать 2ps 1ps если 2ps кто дефицит
у мы весь переводчик первый категория и постоянно повышать свой квалификация	у 1ps переводчик все первый категория и всегда расти карьера учить	у 1ps переводчик все первый <dact> и всегда расти карьера учить карьера всегда
он быть старый я на год и наш отношение быть довольно странный	3ps был старший 1ps н-а <nums> лет и взаимоотношения был странный	мальчик 3ps был старший 1ps н-а <nums> лет и взаимоотношения был странный
человек говорить не мочь но он модевать покачать голова	человек говорить не.мочь.сделать голова как голова как голова	человек говорить не.мочь.сделать голова как голова кивать хорошо
невозможно	не.мочь.сделать	невозможный
правильно	правильный	правильный
код собираться вперемешку	кода собрание смешанный	кода собрание смешанный
он так бояться	3ps так страх	о-н так страх
я подумать у я получаться резьба заниматься	1ps думать у 1ps есть резьба2 был	поэтому 1ps думать резьба2 успех как
в будущее мир глухой исчезать или нет	будущее мир2 глухой исчезновение будет или не.будет	думать будущее мир2 глухой исчезновение будет или не.будет
это не мой тема но я смотреть немного в будущее	это poss 1ps тема но 1ps смотреть чуть-чуть будущее	это н-е poss 1ps тема но 1ps смотреть чуть-чуть будущее
это прекрасный возможность для человек с различный ментальный заболевание кто действительно не мочь трудоустраиваться и он нужно постоянный сопровождение	это отличный возможность для человекpl разныйpl умственный заболевание кто не	это отличный возможность для человек pl разный pl умственный заболевание кто не мочь разделять не мочь трудоустройство 3ps нужно следующий следить
множество человек	множество человекpl	множественный человек pl
не понимать почему кушать что	2ps не понимать почему еда что	2ps не понимать почему еда что
похоже откусывать сэндвич	например еда съесть <dact>	похоже <dact> clf clf.сэндвич clf.откусить
и вот изображение стекло запотевать он начинать он протирать и когда протирать начинать проявляться картина то что он хотеть	и видеть clf clf.изображение clf.размытое начинать вы	пример clf clf.изображение clf.размытое начинать вытирать когда2 вытирать появляться картина рисовать это соответствовать indx что 3ps желание похоже 1ps исправлять 3ps
также здесь рассказывать об история общество глухой о то откуда возникать жестовый язык	и 3ps включать похоже 2ps рассказывать 2ps история общество глухой о	и 3ps включать похоже 1ps рассказывать 2ps история раньше глухой общество жестовый.язык2 возникать
если не помогать снова производить хлопок пока ни получаться	если успех не.хотеть новый clf clf.человек clf.	бесполезный новый clf clf.человек clf.выбить clf.инородное clf.тело clf clf.человек clf.выбить clf.инородное clf.тело чередовать глаза clf clf.инородный clf.предмет clf.вытолкнуть нужно
когда медвежонок просыпаться папа не быть только вода повсюду	когда2 медведь просыпаться папа не только вода повсюду	когда медведь маленький3 проснуться папа пусто повсюду вода
получаться при минимальный увеличение жир обмен вещество в организм замедляться в раз	получаться clf clf.чуть увеличение <dact> увеличение clf clf.чуть	получаться clf clf.чуть увеличение <dact> увеличение clf clf.чуть получаться clf clf.огранизм clf.процесс <dact> медленно в 1.5 <dact> медленно
я переводить различный пара мероприятие	1ps переводчик разный пара мероприятиеpl	1ps переводчик разный урок мероприятие
а к кто обращаться	а обращаться кто	а обращаться кто
я обязанный знать военный дело	1ps обязанность знать военный дело	1ps обязанность знать правила военный дело
древолаз очень токсичный и бывать разный цветок желтый темно-зеленый красный черный но самый опасный золотой	clf clf.лягушка clf.взбирается clf.по clf.	clf clf.лягушка clf.взбирается clf.по clf.дереву у 3ps есть вредить есть бывает видеть цвет3 желтый темный зеленый красный синий черный н-о сам2 опасный зеленый цвет3 золотой
вопрос кто входить в сообщество глухой	вопрос кто входить мир2 глухой	вопрос кто включать мир2 глухой внутри
четвертый ваш мнение	четвертый poss 2ps мнение	четвертый poss 2ps мнение
веко защекотать слезинка когда поезд тронуться но вдруг дверь в купе открываться и входить роберт	слеза поезд clf clf.поезд clf.трогается clf clf.двер	слеза поезд clf clf.поезд clf.трогается вдруг clf clf.двери clf.купе clf.открываются мальчик clf clf.человек clf.идет то.же.самое <dact>
создавать	создать2	собирать
а куст кричать соловей чтобы тот еще крепко прижиматься к шип	кусты clf clf.кусты кричать птица2 imp держать clf	кусты clf clf.кусты кричать птица2 imp держать clf clf.тельце clf.птицы imp
мочь быть у вы быть какой-либо вопрос или хотеть подробность я готовый вы отвечать спрашивать	мочь быть у ps2 есть вопрос подробный мочь ответ спросить 1ps	может.быть у ps2 есть вопрос подробный мочь ответ спросить 1ps
нападать	нападать	напатать
из жир так же как и из белок строиться клетка оболочка мембрана без жир не образовываться поэтому часть жир идти на строительство этот мембрана и не давать мы энергия	<dact> тоже строить клетки.организма без <dact> это часть это будет использова	<dact> indx и <dact> тоже строить клетки.организма indx без clf clf.оболочка clf.клетки это делать и-з <dact> это отдельный <dact> будет использовать строить clf clf.оболочка clf.клетки и электричество 3ps давать 1ps нет indx половина убирать
сделать такой ступенька на память красота	делать такой ступенька clf clf.ступенька clf.на памятник	это indx ступенька был собирать памятник красивый
быть много направление где можно себя применять физкультура преподавание разный направление быть	есть физкультура направление считать3 преподавание направление считать3 любой	1ps какой физкультура направление считать3 преподавание направление считать3 любой разнообразие3 куда все есть
а инвалид нужно быть обязательно давать путевка дом отдых специальный больница	и а инвалид должен быть обязательный выгодаpl отдых дать домpl	и а инвалид так нужно платить pl должен первый путевка отдых дать дом pl отдых дать специальность больница2
мой текущий рабочий деятельность мочь продолжаться до но вдруг я узнавать о болезнь или что-то случаться	1ps деятельность работать2 быть хорошо мочь до <nums> мочь быть	сейчас 1ps деятельность работать2 быть хорошо мочь до <nums> мочь быть н-о узнать болезнь что случай
это значит настоящий поэтому сейчас он не мочь	это настоящий сейчас не мочь	это настоящий сейчас не мочь
поэтому я хотя и оробеть но не до конец и весь продолжать посматривать на ефросинья петровна что же она будет делать далеко	поэтому 1ps думать оробеть не до конец и видеть продолжать след	1ps пока 1ps чуть-чуть страшный чуть-чуть взглянуть бабушка взглянуть делать что интересный взглянуть
по разный причина по сложный работа по ещ какой-то причина просто не хотеть	разнообразие причина сложный работа потому что причина сложный работа не.хотеть	разнообразие причина сложный условие труд ещё что-то не.хотеть
в сентябрь обычно тоже жарко	сентябрь тоже	сентябрь indx тоже
внешний	внешний	внешний
я не знать испанский язык	1ps испания2 язык не знать	1ps испания2 язык 1ps не знать
я относиться ко весь одинаково хорошо	1ps все так хорошо отношение	1ps все так хорошо отношение
один ребенок будет смотреть но он это не нужно	смотреть не.нужно	смотреть не.нужно
мой профессия интересный и необычный	poss 1ps профессия2 интересный необычный	poss 1ps профессия переводчик интересный необычный
однажды тамара присниться сон забросить деревня а там дочка и она звать тамара и просить скоро она находить	когда2 был сон присниться сон clf clf.спрыгнуть деревня	и однажды 3ps девочка сон изгой2 деревня и дочь кто кричать мама pl быстрый 1ps успех
в-третьих помимо углевод жир и белок пища давать наш организм витамин и минерал который регулировать различный процесс	третий еда <dact> <dact> <dact> еда 1ps давать 1ps плюс полезный	третий еда <dact> <dact> <dact> вместе еще 3ps давать 1ps плюс полезный <dact> что метаболизм правильно работать внутри.себя все
я должный уметь командовать отряд	1ps должен быть знать группа первый	1ps нужно знать пример группа военный руководить
я часто пропускать школа из-за то что сидеть с младший сестра	1ps часто прогуливать школа почему 1ps сидеть младший сестра	1ps часто прогуливать школа почему 1ps сидеть вместе младший сестра
общий	общий	общий2
что хотеть сказать	что желание сказать	желание сказать
бывать что в связь с погодный условие обледеневать и оборваться провод но опять же такой случаться редко	быть попадать дождь быть мороз дождь быть clf clf.провод clf	быть попадать <dact> мороз дождь быть clf clf.провод clf.pl провод clf clf.провод clf.порваться редко
так быть всегда сказать сова и это никогда не изменяться	разговаривать2 всегда ладно думать изменять не.будет2	разговаривать2 <dact> пусть всегда ладно думать изменять не.будет2 ладно
через ассоциация мы постараться сделать так чтобы вы в свой город например в новосибирск находить филиал этот ассоциация и приходить туда	а в содружество 1ps будет раздавать2 все это 3ps адрес свой ново	1ps через содружество 3ps 1ps адрес список 1ps будет раздавать2 все это 3ps адрес свой новосибирск 3ps другой город будет приходить2
а если я не прийти домой папа и мама обязательно сообщать в милиция	если 1ps домой не будет мама предупредить милиция предупредить	1ps домой не будет родители должен полицейский милиция предупредить
лето сам себя нужно купаться	лето сам2 нужно купаться	indx лето обязательный купаться
когда наступать ночь они отдыхать	когда ночь начало отдых	когда ночь начало отдых
это я очень нужно потому что я получать различный информация о музей город благодаря этот организация	1ps быть включать indx быть различный организация получать информация все получать в	1ps indx быть включать это нужда indx различный pl получать информация все получать вечный у 3ps содружество перечислять2 получать2 indx быть музей работать2 включать indx город страна indx 1ps вечный
мать девочка сильно выпивать после развод с отец и оля всегда сторониться ребята чувствовать себя обделять	мама девочка будет проходить развод папа папа папа 3ps <dact> 3ps всегда2 <nums> алкогол	мама poss 3ps девочка проходить расстаться папа сильный алкоголь и <dact> 3ps всегда2 <nums> лишний2
вода холодный или ты притворяться	вода холодный или 2ps притворяться	вода холодный или 2ps притворяться
благодаря вот этот механизм ускоряться снижение вес	благодарение это indx собирать успех вес худеть	благодарение это indx собирать indx успех вес худеть
дочка сидеть зажиматься в угол	дочь сидеть угол прятать	дочь сидеть угол прятать
но иногда смотреть на человек и думать что у он жировой запас даже слишком много и пора останавливаться	о-н человекpl смотреть человекpl думать у 3ps жировые.запас	видеть человек 3ps <dact> жировые.запасы куда хватит конец
мы с она знакомый	вместе знакомить	1ps pl вместе знакомый
я приходить в тот школа в который среди слышать ребенок быть код приходить туда смотреть помогать	1ps приходить школа indx включать слышащий дети2 смотреть2 всегда	кто indx дети слышащий кода включать 1ps помогать 3ps 1ps приходить 3ps проводить indx приходить смотреть indx
обнимать и до следующий встреча	обнимать до следующий встреча	обнимать все до следующий встреча пока
подключаться быть вы ждать	ждать2 2ps подключаться 1ps	ждать2 poss 2ps 2ps подключаться 1ps
вы быть получать различный поручение	пример поручать различный	желание пример поручать различный
я быть учитывать возможность ваш город	1ps быть пример возможность poss 2ps город	1ps обучать2 потом потому.что город poss 2ps
также вы мочь находить я в соцсеть ВК фейсбук и написать я задавать вопрос я отвечать	кто мочь искать 1ps 1ps соцсеть ответ в-к фейсбук на	кто узнать2 мочь 2ps 1ps соцсеть ответ в-к фейсбук написать вопрос 1ps отвечать
следующий вога клуб глухой	следующий2 <dact> клуб глухой	следующий2 <dact> клуб глухой
я сам глухой общаться на жестовый язык мой родитель а также бабушка и дедушка тоже глухой и мы нормально общаться на жестовый язык	1ps сам2 глухой 1ps общаться на жестовом языке poss 1ps родиетли глу	1ps сам2 глухой poss 1ps говорить на жестовом языке poss 1ps родиетли глухой бабушка дедушка глухой 3ps pl говорить на жестовом языке нормально
если бы я не пойти работать переводчик я бы выбирать направление сурдопедагог и обучать бы ребенок с нарушение слух	если 1ps переводчик нет2 1ps работать2 переводчик 1ps выбирать направление <dact>	если 1ps поступать работать2 переводчик 1ps выбирать другой специальность направление <dact> преподавание обучать2 дети2 нарушение2 слух
да	д-а	д-а
укус лори мочь вызывать анафилактический шок и даже смерть говорить что лори подражать змей ядовитый	еда мочь вызывать афилический шок смерть мочь2 это ост	это 3ps кусать мочь 1ps <dact> 1ps смерть мочь2 это осторожно <dact> 3ps копировать змея похоже
о нет ты не мочь поехать на королевский бал в такой вид	2ps не мочь пойти королевский бал	нельзя уезжать королевский праздник бал такой 2ps
мы видеть что человек стоять взгляд испуганный	мы видеть человек стоять глаза какой clf clf.глаза clf.	1ps 1ps видеть человек стоять глаза какой clf clf.глаза clf.расшириться напуганный indx кашлять2 останавливаться
ехать нужно быть далеко но луиза не мочь пропустить такой событие	еда indx indx далеко3 н-о луиса не мочь пропустить	поехать далеко н-о пропускать3 не мочь
семья это труд друг о друг забота	семья это труд друг.друга забота	семья это труд делать друг.друга забота
например на помещение	пример комната	пример комната комната
на седьмой место муравьед	седьмой место муравьед	следующий3 <dact>
он вчера не купить мясо	о-н вчера мясо покупать не был	о-н 3ps вчера мясо покупать не был
он быть страшно но он стараться не показывать это	о-н был страх н-о стараться н-о 3ps pl показ	о-н был страх н-о стараться н-е показывать
жир сжигаться быстро и превращаться в энергия	<dact> быстрый изменять энергия	<dact> огонь быстрый изменение энергия
и как раз когда мы общаться в фейсбука там быть человек по имя аркадий белозовский	и <dact> раз когда фейсбук фейсбук был человекpl имя <dact> <dact>	<dact> <dact> связь когда фейсбук indx был беседовать indx имя <dact> <dact>
по-прежнему пусто	пустой не	пустой то.же.самое
у я быть принтер	1ps принтер2 1ps есть	1ps принтер2 иметь
а также углеводный пища потому что повышаться сахар и инсулин в кровь	еда множественный почему сахар2 выше.крыши выше.	плюс <dact> еда indx тоже почему сахар2 выше <dact> кровь тоже выше
для то чтобы вы быть заразный у вы не должно быть антитело	если 1ps заразный необходимость не иметь	если 1ps заразный 1ps необходимость внутри защита не иметь
мой жена тоже учиться в ЛВЦ она знать	poss 1ps жена лвц знать	poss 1ps жена лвц учить2 знать пример
в это институт учиться глухой и я там быть	институт глухой толпа есть indx был	институт глухой толпа есть indx это 1ps был indx
код из разный страна сразу узнавать друг друг радоваться начинать взаимодействовать друг с другой	кода знать poss 1ps русский пусть <dact> русский пусть clf clf.	глаз знать poss 1ps 1ps пример 1ps италия2 русский пусть <dact> 3ps одинаковый 3ps нейтр.имп радость clf clf.взаимодействовать общаться
следующий этап начинать копить на случай если оставаться без работа увольняться тогда что делать а резерв всегда быть	следующий все4 потом начинать копить если уволиться не.работать у	потом следующий все4 потом начинать копить вдруг 1ps не.работать уволиться что pl делать оставить есть
поэтому хром уменьшать тяга к сладкий	это хром уменьшать тяга сладкий	<dact> уменьшать2 3ps тянуть 1ps сладкий
хорошо	хорошо	хорошо
абсорбция другой соединение хром незначительный и составлять мало	абсорбция другой соединение хром не.знать2 составлять меньше	<dact> соединение успех мало меньше <nums> процент
за вертолет платить кто будет	вертолет деньги кто будет	вертолет деньги кто будет
почему	почему	почему
у мой брат быть чистый носок	poss 1ps брат чистота носки иметь	poss 1ps брат чистота носки иметь
изменяться мир ваш семья друг и коллега весь изменяться	измениться мир poss 2ps семья друг изменить будет	ваш семья мир изменить друг pl вместе работать все изменить будет
это агенство вообще мочь выделять переводчик на любой мероприятие вы же знать что вы по закон положенный переводчик поэтому не надо стесняться он просить	это <dact> мочь выделить переводить любой деятельность что соревнование indx подать	это indx это выделить перевод indx любой деятельность что соревнование indx подать.заявление и обратиться 2ps перевод пожалуйста обслуживать все терпеть должен закон indx есть все должен обслуживать перевод
получаться я продолжать работать и плюс обучать студент будущий переводчик	1ps получать2 1ps продолжать работать2 оставаться2 продолжать еще работать	1ps получать2 1ps продолжать работать2 оставаться2 продолжать еще работать2 плюс 1ps учить студент2 будущее переводчик
гордиться	гордый	гордый
вдруг ларсить замечать вдалеке свой папа	случай <dact> замечать смотреть2 вдалеке папа видеть	случай <dact> замечать clf clf.вдалеке indx папа видеть
следующий рыба фуга большой круглый рыба с пятно	изменить.направление рыба2 <dact> clf clf.рыба clf.круглая	изменить.направление рыба2 <dact> clf clf.рыба clf.круглая пятно pl clf clf.рыба clf.круглая
говорить голос и жест одновременно	говорить.на.жестовом.языке со.временем время со.времен	жестовый язык
привет	привет	привет
это специальный группа слышать ребенок у который родитель глухой	это специальность группа дети2 слышащий poss 3ps папа глухой	это специальность группа дети2 слышащий poss 3ps папа глухой
верно	правильно	правильно
во-первых в состав максимально эффективный комлпекс компонент экстракт гарциния и пиколинат хром	первый собирать есть тупик полезный общий <dact> и <dact>	первый собирать indx есть тупик полезный общий <dact> и <dact>
она входить вытирать рука о полотенце	девочка вытирать рука2 о полотенце	clf clf.человек clf.идет потирать.руки
вдруг он услышать в лес возмущать разговор зверь медведь заяц белок птица	слышать лес возмущаться разговаривать2 медведь возмущаться	слышать indx лес что разговаривать2 <dact> что indx был разговаривать2 медведь возмущаться заяц <dact> птица множество смешанный
молчать	молчать	молчать
что за надоедливый крыса что ты нужно	случай крыса2 вредный что желание	случай крыса2 вредный что желание
например масло коллаген и то что иметь глубокий увлажнение чтобы ухаживать за волос	пример масло ухаживать глубоко масло <dact> заботиться что был	пример масло ухаживать глубоко масло <dact> заботиться что был
я белый мишка с северный полюс	1ps белый медведь жизнь северный.полюс	1ps белый медведь жизнь северный.полюс
приходить посмотреть дом рядом с лес там жить мальчик который играть в лес	приходить2 смотреть рядом дом indx мальчик жизнь территория близко <dact> indx 	приходить2 смотреть2 рядом дом indx мальчик жизнь территория близко <dact> indx indx мальчик был indx дерево pl игра
нужно поставлять ряд задача написать устав	нужно поставлять ряд задача написать инициатива	нужно поставить pl список задание pl <dact> список список <dact> закон
чужой	чужой	чужой
у я в голова не укладываться вообще вот такой вот случай быть	1ps тупик ап попадать случай был	1ps 1ps тупик ап попадать случай был
сделать маленький десятисекундный репортаж и показывать	делать маленький4 секунда репортаж отправлять 3ps новости показывать	видео2 маленький4 <nums> секунда отправлять 3ps новости показывать
запираться	выключить	выключить
скоро вс починять	скоро чинить готовый	скоро чинить готовый будет
следующий лебедь очень красивый птица который жить пара и с который у мы связанный много представление о любовь	следующий3 лебедь clf clf.птица clf.машет clf 	следующий3 <dact> clf clf.птица clf.машет clf.крыльями clf clf.длинная clf.шея красивый clf clf.два clf.лебедя clf.склонили clf.друг clf.к clf.другу clf.головы всегда2 clf clf.два clf.лебедя clf.склонили clf.друг clf.к clf.другу clf.головы милый видеть всегда2 внутри любовь2 clf clf.два clf.лебедя clf.склонили clf.друг clf.к clf.другу clf.головы clf clf.птица clf.машет clf.крыльями
и я весь время поглядывать на ефросинья петровна	1ps всегда2 видеть сегодня2 бабушка <dact>	1ps всегда2 видеть взглянуть бабушка 3ps делать что
я показывать презентация	1ps показывать мультимедийная.презентация	1ps показывать мультимедийная.презентация indx
привет я звать елфимов светлана вот мо жестовый имя	аплодисменты 1ps имя <dact> <dact> poss 1ps жестовое.имя sn	аплодисменты 1ps имя <dact> <dact> poss 1ps жестовое.имя sn
сейчас жестовый язык популярный в мир слышать	сейчас3 россия язык популярный слышащий слышащий слыша	сейчас жест известный indx мир говорить
соглашаться	согласие	согласие
в Instagram быть группа мама в дело	indx есть группа мама дело	в instagram 1ps есть группа мама дело indx
даже к подросток нужный другой подход	даже подросток переезд средний2 другой работа будет	даже подросток переезд средний2 другой работа будет
например я работать в технологический музей видео гид и у они там очень хороший финансовый положение	пример 1ps технология музей <dact> indx финансирование2 лучше	пример 1ps делать технология музей и indx поручать видео <dact> indx финансирование2 лучше
перечить она не сметь	перечить	перечить
следующий жестовый пение театр глухой история или рассказ на РЖЯ	следующий2 жест пение театр глухой история жест рассказ <dact>	следующий2 жест пение театр глухой poss 3ps история жест рассказ <dact>
ребенок не осведомлять об это почему	дети2 не знать почему	3ps pl не знать почему
оказываться очень важный знать что у он быть друг	оказываться очень важный если знать у 3ps есть друг	оказываться очень важный если знать у 3ps есть друг
